Airlines,Text,Output
@SouthwestAir,"b'Homeward bound to KC.  Never enough time phiatt21 slf231 @southwestair Happy birthday, America.  \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xe2\x9c\x88\xef\xb8\x8f @ Southwes\xe2\x80\xa6 https://t.co/Q6xuLSLEsc'",-1
@SouthwestAir,b'headed to San Diego today  - three of my last three @SouthwestAir flights have been delayed more than two hours - one four hours. :(',-1
@SouthwestAir,b'@SouthwestAir Thanks!',1
@SouthwestAir,b'@deandelray @TheComedyStore We just left DEN in @SouthwestAir of course. Must have just missed you! Have a great show Dean!',1
@SouthwestAir,b'@SouthwestAir Thanks but THE LAPRAS STAYS ON MY LAP \xf0\x9f\xa4\xaa',1
@SouthwestAir,b'.@SouthwestAir your gate agent Maxie at Las Vegas was amazing and kind and so funny. Please pass on my praise for h\xe2\x80\xa6 https://t.co/cQZAbFBH5A',1
@SouthwestAir,b'@SouthwestAir @deandelray i think it\xe2\x80\x99s cool you replied to this tweet and not my DM about a flight issue',0
@SouthwestAir,b'Thank you @SouthwestAir for #livetv #CokeZeroSugar400 @NASCAR @NASCARonNBC Cheering on @GoFasRacing32 &amp; @CoreyLaJoie',1
@SouthwestAir,b'@SouthwestAir I have a flight delay and looks like I will miss my connection. Can you help in DM?',-1
@SouthwestAir,b'@SouthwestAir how far in advance of takeoff do I need to cancel a flight to get a LUV voucher?',-1
@SouthwestAir,b'RT @WandrMe: Did you know? @SouthwestAir has roughly identical policies to @AmericanAir when it comes to pets in the cabin. \n\nBut bragging\xe2\x80\xa6',-1
@SouthwestAir,"b'@SpiritAirlines \xf0\x9f\x98\x82\xf0\x9f\x98\x82 not only do we wait on hold for 3 hours, your text service doesn\xe2\x80\x99t respond, and neither does you\xe2\x80\xa6 https://t.co/BcFCv4ZRki'",-1
@SouthwestAir,b'@GraceVlaha nothing makes me feel more listened to. thank you @SouthwestAir for putting up with me:-)',1
@SouthwestAir,b'Major airlines are flying plastic-free flights or ditching wasteful single-use plastics entirely. Why has\xe2\x80\xa6 https://t.co/4gQS0QqpxB',-1
@SouthwestAir,b'what it looks like when you have 3 people at the @SouthwestAir counter but only 1 helping customers 40 min moved on\xe2\x80\xa6 https://t.co/8Vj016cqPo',-1
@SouthwestAir,"b""Had to stop our ride for a minute to check in for tomorrow's flight to Long Beach via @southwestair  for the canvas\xe2\x80\xa6 https://t.co/GMaeDTs2GE""",-1
@SouthwestAir,b'@TSA Help! I have a KTN number on file with @SouthwestAir. On a recent round trip flight I received my TSA precheck\xe2\x80\xa6 https://t.co/pLgBKcqF7l',-1
@SouthwestAir,b'@SouthwestAir 4 gate changes later and 7 hours later we are still waiting to fly out of @ABIntlAirport !! Poor comm\xe2\x80\xa6 https://t.co/SbRBYNBrdM',-1
@SouthwestAir,b'@SouthwestAir My sisters connecting flight canceled for the 2nd time. Stuck since yesterday. Why are transfer Pax not placed at top of list?',-1
@SouthwestAir,"b'RT @SouthwestAir: @stephaniebphoto Hey, Stephanie. Love you, mean it! -Rocky'",1
@SouthwestAir,b'@ViciousVish @tourneylocator @SouthwestAir Haha will the Lapras need an extra ticket? Ah great post!',1
@SouthwestAir,"b'RT @ViciousVish: Just booked my flight to #LTC7 THANKS TO #SouthwestHeart ^_^\n\nTexas and @tourneylocator always treat me well, excited to b\xe2\x80\xa6'",1
@SouthwestAir,b'Is ALL the WiFi out today @SouthwestAir ?#hardtowork',-1
@SouthwestAir,"b'Just booked my flight to #LTC7 THANKS TO #SouthwestHeart ^_^\n\nTexas and @tourneylocator always treat me well, excit\xe2\x80\xa6 https://t.co/zL3rIhu0Ye'",1
@SouthwestAir,"b'Its ok u guys, @SouthwestAir is gonna get us there because they\xe2\x80\x99re a better airline'",-1
@SouthwestAir,b'@SouthwestAir  Allowing people to save seats or rows during the boarding process causes confusion and slows the boa\xe2\x80\xa6 https://t.co/DJHL0nxJWK',-1
@SouthwestAir,b'@crankyflier @SouthwestAir Looking forward to tomorrow\xe2\x80\x99s blog. We finally got home at 3am with our \xf0\x9f\x91\xb6\xf0\x9f\x8f\xbbafter a 5-hr d\xe2\x80\xa6 https://t.co/3AW9pAbmtk',0
@SouthwestAir,b'S/o to @SouthwestAir - by far the best airline on this planet \xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\xa9',1
@SouthwestAir,b'@SouthwestAir Kind of an unsatisfactory response @SouthwestAir plenty of other flights took off.',-1
@SouthwestAir,b'@SouthwestAir Yes that\xe2\x80\x99s not going to work she to busy giving wrong drinks to people... she a gave a child liquor b\xe2\x80\xa6 https://t.co/Qu3jtQNqz9',-1
@SouthwestAir,"b'@BrendaBerg @philipsfree @united @SouthwestAir No, it wasn\xe2\x80\x99t. United will not do that because of situations like th\xe2\x80\xa6 https://t.co/ttcWvteVAo'",-1
@SouthwestAir,"b""@SouthwestAir I understand things happen but you couldn't get my family home on @SouthwestAir before Monday when we\xe2\x80\xa6 https://t.co/h08KSnTstd""",-1
@SouthwestAir,b'@AlaskaAir\n@Delta\n@united\n@RT_com\n@SouthwestAir\n@AmericanAir\n@ABCWorldNews\n@komonews\n@KING5Seattle\n@KIRO7Seattle\xe2\x80\xa6 https://t.co/EYK3ZeJtpw',-1
@SouthwestAir,"b'@SouthwestAir Thank you! I had a flight to Atl July 11, my Mother ended up in the Hospital July 4th, I had to get t\xe2\x80\xa6 https://t.co/0WAyMG3MBS'",1
@SouthwestAir,b'@RedRumbleDoll @SouthwestAir Wow.  Lots of that going on today as reported on their Twitter.  So sorry for you.  Ho\xe2\x80\xa6 https://t.co/k0HCd2pvKD',-1
@SouthwestAir,b'@SouthwestAir you\xe2\x80\x99re delaying flights in and out of DC area for 40% chance of rain? Really? A 6:55 PM flight? https://t.co/PJy0DoMHPg',-1
@SouthwestAir,b'@Beatlebaby64 @SouthwestAir What powers do you wield that airlines respond to your tweets?  Teach us wise one.',-1
@SouthwestAir,"b'@stacycovitz @SouthwestAir So true....after two issues in a week resulting in 13+ hours stranded in airports, I completely agree. #NoLUV'",-1
@SouthwestAir,"b'When you come home with ruined, soaking wet, unused vacation clothing because @SouthwestAir left your hard shell lu\xe2\x80\xa6 https://t.co/tgaQNuVJee'",-1
@SouthwestAir,b'@Callabrew @SouthwestAir Funny how SWA always deals with situations on Twitter by saying \xe2\x80\x9cPlease DM us and we\xe2\x80\x99ll ma\xe2\x80\xa6 https://t.co/oY5djximLC',0
@SouthwestAir,b'As always @SouthwestAir is unmatched in their customer service \xe2\x99\xa5\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8fthank you to the the wonderful woman at gate E16\xe2\x80\xa6 https://t.co/emc99zVyJy',-1
@SouthwestAir,b'Every airline should cancel 737 max order @Boeing can\xe2\x80\x99t be trusted they say planes was safe it wasn\xe2\x80\x99t.\nThey aren\xe2\x80\x99t\xe2\x80\xa6 https://t.co/xegz3vU5II',-1
@SouthwestAir,"b'New post from yesterday: @SouthwestAir has grown departing passengers at STL 43.8% over the past 5 years, ranking 4\xe2\x80\xa6 https://t.co/txzRhAmhvH'",-1
@SouthwestAir,b'@alliewaddle @SouthwestAir Communicate with your customers. It\xe2\x80\x99s a small way to keep people less frustrated.',-1
@SouthwestAir,"b'@Barkupthistree @SouthwestAir I agree with you, SWA used to be my gold standard for CX. Lots of problems now, and n\xe2\x80\xa6 https://t.co/WBRep2Yk2q'",-1
@SouthwestAir,b'So @SouthwestAir you re book a cancelled flight and separate my kids from me and your agent on the phone can\xe2\x80\x99t adju\xe2\x80\xa6 https://t.co/ZUGt6v6sOn',-1
@SouthwestAir,b'@SouthwestAir you got openings for a new leisure traveler?',-1
@SouthwestAir,"b'Hi @SouthwestAir - my flight was delayed for an unknown amount of time, gates/times keep changing without anyone le\xe2\x80\xa6 https://t.co/snHL59Yd2T'",-1
@SouthwestAir,b'@SouthwestAir charged me ~12k miles to change my flight earlier by 4 hours. Then that flight delayed by 3 hours and\xe2\x80\xa6 https://t.co/BWtIPfwj07',-1
@SouthwestAir,b'@SouthwestAir The agent called it cosmetic damage. Sucks bc next time I fly I\xe2\x80\x99m pretty sure the logo will get rippe\xe2\x80\xa6 https://t.co/LeVkMwZvF0',-1
@SouthwestAir,b'@MrsHeatherBudd @SouthwestAir So sorry to hear of your issue! SWA clearly having issues lately. We had our flight c\xe2\x80\xa6 https://t.co/KJyL9Lh1pq',-1
@SouthwestAir,b'@HunterFatStacks @SouthwestAir Wow.  I am so sorry for you guys.  It shouldn\xe2\x80\x99t be this way but this seems to happen\xe2\x80\xa6 https://t.co/0BR9gVbDWR',-1
@SouthwestAir,b'@SouthwestAir I have work at 8am tomorrow morning and I will be LIVID if I cannot get back to Boston tonight because of all of these delays.',-1
@SouthwestAir,b'@SouthwestAir Many of us in HI want to know when you will have interisland flights to and from Kauai! Mahalo!',0
@SouthwestAir,"b'@SouthwestAir we love flying with you and only fly with you, but you have damaged 6 pieces of luggage in the last 3\xe2\x80\xa6 https://t.co/DMYK9XwKUl'",1
@SouthwestAir,b'Hey @SouthwestAir you mission of transfarency- fareness honesty and respect couldn\xe2\x80\x99t be further that what I just go\xe2\x80\xa6 https://t.co/etojwx1Pro',-1
@SouthwestAir,"b'@AskTSA @SouthwestAir Well we bought the lock right before the trip, it was brand new. They just cut it off cause i\xe2\x80\xa6 https://t.co/gCutNzwhJ9'",-1
@SouthwestAir,"b'Literally just got dropped at the airport, checked my bag with @SouthwestAir &amp; made it through security in 3 minute\xe2\x80\xa6 https://t.co/y0EFWBY23g'",-1
@SouthwestAir,b'Vacation snafu. @SouthwestAir cancelled my flight home. Now to rent a car and drive the I95 corridor after a holiday weekend.',-1
@SouthwestAir,"b'@TooShainz @philipsfree @united @SouthwestAir No, the fee was for United to get him ON the SAS flight to Stockholm\xe2\x80\xa6 https://t.co/7ylo9rgMKG'",-1
@SouthwestAir,b'@SouthwestAir thanks to you and your #rapidrewards program I was able to escape for a long weekend to my favorite c\xe2\x80\xa6 https://t.co/zXJ7t9NIkk',1
@SouthwestAir,b'@SouthwestAir I just landed from Vegas and it appears not that my newish bag took a beating. \xf0\x9f\x98\xa2 Is this covered? I\xe2\x80\x99m\xe2\x80\xa6 https://t.co/JnEZcnr1rX',-1
@SouthwestAir,b'@SouthwestAir this is totally unacceptable. This dog is going nuts. I don\xe2\x80\x99t need to book business select every week\xe2\x80\xa6 https://t.co/eV3EAJTqde',-1
@SouthwestAir,"b'@lachlan @SouthwestAir Good, get the proper carrier so you don\xe2\x80\x99t have to lie about other airlines.'",-1
@SouthwestAir,"b'How come @SouthwestAir is amazing with CS, free bags, &amp; NO change fee\xe2\x80\x94 but @Delta can\xe2\x80\x99t? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f this is why I choose\xe2\x80\xa6 https://t.co/YxQ0E3qsBq'",1
@SouthwestAir,b'Sitting in @SouthwestAir full service line in ATL for 30 minutes. The feeling when half of the help goes on break.\xe2\x80\xa6 https://t.co/500eSpxVqx',-1
@SouthwestAir,"b'@SouthwestAir hey...you\xe2\x80\x99ve changed my flight time twice now, are we sure it won\xe2\x80\x99t change again? I\xe2\x80\x99m not trying to s\xe2\x80\xa6 https://t.co/bs9c25Qq2w'",-1
@SouthwestAir,"b'@SouthwestAir what am I supposed to do when you cancel my flight home, rebook me over 24 hrs later, and don\xe2\x80\x99t offer\xe2\x80\xa6 https://t.co/ghaN7yCsPu'",-1
@SouthwestAir,b'@BrendaBerg @philipsfree @united @SouthwestAir You paid @United\xe2\x80\x99s UM fee for the RDU-EWR leg. They did EXACTLY what\xe2\x80\xa6 https://t.co/engLKXJec2',-1
@SouthwestAir,b'@LeapsofJoy @SouthwestAir \xf0\x9f\x98\xb1 What was the verdict?',-1
@SouthwestAir,b'@SouthwestAir - Got a Google notification flight 4195 STL (9:35pm) to BWI (12:35am) delayed until 2am.\xe2\x80\xa6 https://t.co/tKdnVPFvCh',-1
@SouthwestAir,"b'@SouthwestAir Travel over 100k every year with AA. Every time I have to travel on Southwest, I am reminded why I do\xe2\x80\xa6 https://t.co/O4e9wEoejb'",-1
@SouthwestAir,b'@SouthwestAir  I used to enjoy your airline. Daughters flight cancelled 2 days in a row with no explanation while o\xe2\x80\xa6 https://t.co/0Ev1IIKOYO',-1
@SouthwestAir,b'@SouthwestAir Thanks for cancelling our flight but sending my wife\xe2\x80\x99s bag with all of her medication to Mexico anyway!',1
@SouthwestAir,b'Land at BWI just to find out my @SouthwestAir flight 2921 to DEN is cancelled bc of imaginary rain and the most pat\xe2\x80\xa6 https://t.co/wsXlF1CYjD',-1
@SouthwestAir,b'@tanveersachdeva @SouthwestAir SW has been hearing this complaint often.  I have been following their Twitter for t\xe2\x80\xa6 https://t.co/JbumU3e1MC',-1
@SouthwestAir,b'@SouthwestAir I was hoping for a better follow up on this than just appreciating my feedback which a million others\xe2\x80\xa6 https://t.co/YK6K5yh9cp',-1
@SouthwestAir,b'Update: Called customer service and was told that they literally couldn\xe2\x80\x99t do anything to change my flight. She sugg\xe2\x80\xa6 https://t.co/L6plW9KBsy',-1
@SouthwestAir,b'@Chase @SouthwestAir I love accumulating points w your card...but not negotiating APR reductions is bad customer se\xe2\x80\xa6 https://t.co/6QpjiicX7B',1
@SouthwestAir,b'@seantgrove @SouthwestAir @starisbornmovie My goodness. When he laid down outside of the garage... So sad.',-1
@SouthwestAir,b'Seriously @SouthwestAir. Get more people at Portland ME to help your stranded passengers! Or change your system so\xe2\x80\xa6 https://t.co/8XCYBf7M3N',-1
@SouthwestAir,b'@SouthwestAir It did \xe2\x80\x9cstink.\xe2\x80\x9d https://t.co/cjJ4Fk7ANi',-1
@SouthwestAir,b'@MalaysiaSunny @SouthwestAir You are fortunate that they have given you a voucher for a delay.  They canceled our c\xe2\x80\xa6 https://t.co/Fb4bzl06Yz',-1
@SouthwestAir,b'@CalebABobo @SouthwestAir @starisbornmovie It was the dog that got me.',-1
@SouthwestAir,"b'@SouthwestAir so not only an agitated dog but row behind me DA asked parents to put 3 year in a seat, they refused.\xe2\x80\xa6 https://t.co/8AeQyiWYrF'",-1
@SouthwestAir,b'@SouthwestAir everyone traveling at end of next week to the gulf area pay attention to the weather !!!!!!!!!!',-1
@SouthwestAir,"b'@SheilainNola @SouthwestAir SW, with all of the problems you are having lately, why not bend your policies for the\xe2\x80\xa6 https://t.co/PSV0T4vnws'",-1
@SouthwestAir,b'Flying out of SAN to SFO. Flight was delayed. Then and went tech. Found a plane really quick. Only getting out an h\xe2\x80\xa6 https://t.co/6Aldji9ifv',-1
@SouthwestAir,b'@scromah @SouthwestAir Your SW experience sounds like mine.  They offered nothing to help me and my son when they s\xe2\x80\xa6 https://t.co/dmN4UtV53v',-1
@SouthwestAir,b'@tanveersachdeva @SouthwestAir You are so right!   It ridiculous to have a numerical boarding system and then allow\xe2\x80\xa6 https://t.co/TZvGvpEGmx',-1
@SouthwestAir,b'@SouthwestAir We finally walked into our house at 3am with our toddler after last night\xe2\x80\x99s @SouthwestAir #disaster #\xe2\x80\xa6 https://t.co/JYdAjEdy9J',-1
@SouthwestAir,"b""@SouthwestAir The seat they'd have had if they'd let me on the earlier flight.""",-1
@SouthwestAir,"b""@WandrMe @SouthwestAir @AmericanAir He's bragging about mishandling his dog.""",-1
@SouthwestAir,"b""@SouthwestAir OMG I'm standing at the gate. What more commitment do you want? FYI, they're now begging someone to give up a seat!!""",-1
@SouthwestAir,b'@queentheresa @SouthwestAir This is SW.  Sorry you have to endure this.  Very stressful and distruptive.',-1
@SouthwestAir,b'@CalebABobo @SouthwestAir @starisbornmovie That good?!',-1
@SouthwestAir,b'RT @tyleceee: I love how much representation @SouthwestAir shows in its marketing ads. \xe2\x9c\x8a\xf0\x9f\x8f\xbe',1
@SouthwestAir,b'@dopplershift @SciPyConf @SouthwestAir AWESOME!!! Go USA!! I was seriously crying when we won',1
@SouthwestAir,b'I love how much representation @SouthwestAir shows in its marketing ads. \xe2\x9c\x8a\xf0\x9f\x8f\xbe',1
@SouthwestAir,b'@SouthwestAir what is the deal with the delay into BWI. Flight 2636 from CHS. Minimal showers are expected',-1
@SouthwestAir,"b'Hey @SouthwestAir, if you got a complaint from a woman about a random guy crying uncontrollably next to her on a fl\xe2\x80\xa6 https://t.co/63EqVjqoEW'",-1
@SouthwestAir,b'RT @Darious_Davis: Thank you for getting me home 2 days early and choosing to fly and include all! I love the diverseness of your airline!\xe2\x80\xa6',1
@SouthwestAir,b'@SouthwestAir I would like to know the animal policy on board the aircraft. I fly almost every week and there is a\xe2\x80\xa6 https://t.co/Jy0O2j6apg',-1
@SouthwestAir,b'So is it the new @SouthwestAir that if you\xe2\x80\x99re boarding a flight that already has people on it they get to just stan\xe2\x80\xa6 https://t.co/D63MglEIRr',-1
@SouthwestAir,"b'@lachlan @SouthwestAir Why would you lie and use twitter to gain your advantage? Jesus, liberals will complain and\xe2\x80\xa6 https://t.co/EOB8jZYpND'",-1
@SouthwestAir,b'@MariaTwenter @SouthwestAir That\xe2\x80\x99s sad to hear.  Just more of SW showing their colors.',-1
@SouthwestAir,"b'@SouthwestAir there was a nice voucher waiting for me for our five hour delay, I didn\xe2\x80\x99t ask and they can be combine\xe2\x80\xa6 https://t.co/76DM2kalUl'",-1
@SouthwestAir,b'.. I will never pick a @SouthwestAir flight again in life ..',-1
@SouthwestAir,b'@jackwelsh54 @SouthwestAir I don\xe2\x80\x99t give a fuck unfollow me then',-1
@SouthwestAir,b'@SouthwestAir Good bye Austin hello Dallas!! #home  #needanap',-1
@SouthwestAir,b'@bdwtexas @SouthwestAir That sounds. logical to me.  SW could use more sound thinking like that.  Sorry you have to\xe2\x80\xa6 https://t.co/Pd4hGbFX2w',-1
@SouthwestAir,b'@SouthwestAir Just sent my confirmation number!',-1
@SouthwestAir,b'@Zhynes02 @SouthwestAir Who even knows at this point',-1
@SouthwestAir,b'@SouthwestAir flight cancelled out of BWI (origin JAX). Now need to drive home &amp; we need our bags.  Already waiting\xe2\x80\xa6 https://t.co/r2n8ZOEjAd',-1
@SouthwestAir,b'@jakeep1 @SouthwestAir So now you have 3 flights? Take a nap',-1
@SouthwestAir,"b'@abbkenn @SciPyConf Well, thanks to live TV on @SouthwestAir  I got to watch the whole awesome thing. \xf0\x9f\x98\x8e\xe2\x9a\xbd\xef\xb8\x8f U.S.A.!'",1
@SouthwestAir,b'@Zhynes02 Luckily rebooked with @SouthwestAir',-1
@SouthwestAir,b'@SouthwestAir do y\xe2\x80\x99all support the troops or not cuz y\xe2\x80\x99all flight attendant was snobby as hell ... at this point an\xe2\x80\xa6 https://t.co/4K3brFFHeI',-1
@SouthwestAir,b'@ShawnDCstudent @RadioFreeTom @BulwarkOnline @aa @Delta @united @SouthwestAir Exit row ...',-1
@SouthwestAir,b'@SouthwestAir why is our flight to Orlando so hot? AC turned off.',-1
@SouthwestAir,"b""Booooo @SouthwestAir for starting my aunt's vacation with ruin on FL 1765 Midway to Tampa last night with 2 hour wa\xe2\x80\xa6 https://t.co/M6mVMqtjia""",-1
@SouthwestAir,b'@SouthwestAir thank you for the horrible service!!!',1
@SouthwestAir,b'@HunterFatStacks @SouthwestAir Wow.  I am sorry you have to endure this!   Wishing luck to come your way.  You may need it with SW.',-1
@SouthwestAir,b'@costleex3 @SouthwestAir Hope you get on your flight soon! Safe travels!',-1
@SouthwestAir,b'@andreawilliams_ @SouthwestAir San Diego! Glad you made your flight. Safe travels',-1
@SouthwestAir,"b""Really @SouthwestAir   Have to replace a seat in the cockpit?  That's a new one.""",-1
@SouthwestAir,"b'I broke the cardinal rule. Always, always fly @SouthwestAir into #OAK and not #SFO \xf0\x9f\x98\xa9\xf0\x9f\x98\xa9 https://t.co/akMc3G7MDP'",-1
@SouthwestAir,b'@SouthwestAir On the way to airport text message that flight cancelled. After returning rental car see our flight w\xe2\x80\xa6 https://t.co/xee8qfve4y',-1
@SouthwestAir,b'@SouthwestAir now your rude crew rushed my family including a toddler and twin infants off the jetway!',-1
@SouthwestAir,b'@SouthwestAir y\xe2\x80\x99all have to do better. Leaving @prestonsmithjaz and 25 passengers stranded in Dallas AFTER promisin\xe2\x80\xa6 https://t.co/QD9qZgQRuM',-1
@SouthwestAir,b'@SouthwestAir Yes. Its about time you guys make a policy about this or else there\xe2\x80\x99s nothing stopping passengers fro\xe2\x80\xa6 https://t.co/m2SmcPAaks',-1
@SouthwestAir,"b'@SouthwestAir hi, my wife and my (minor) child have booked Reward travel via their separate Rapid Rewards accounts,\xe2\x80\xa6 https://t.co/q7nqwmJucA'",0
@SouthwestAir,b'@SouthwestAir Flying from Burbank to OAK &amp; from OKA to BWI',-1
@SouthwestAir,b'So @SouthwestAir is pulling a plane from the hanger for us to use hours after our original departure time. Why not\xe2\x80\xa6 https://t.co/eT9GOh4HBf',-1
@SouthwestAir,b'@SouthwestAir Your pilots and ground crew need to get organized and communicate. I\xe2\x80\x99ve been sitting on the plane at\xe2\x80\xa6 https://t.co/u61YgaFHCm',-1
@SouthwestAir,b'@SouthwestAir --I landed at 11:10 -- just now leaving the airport.  Filed a complaint about bed bugs on the plane (\xe2\x80\xa6 https://t.co/kQQElSZLxE',-1
@SouthwestAir,b'@andreawilliams_ @SouthwestAir Very frustrating and unprofessional.  No way you should have to wait that long.  Goo\xe2\x80\xa6 https://t.co/kqP5jI7PSD',-1
@SouthwestAir,b'this is the second time in under a month you\xe2\x80\x99ve totally ruined the end of a trip for me with your god awful custome\xe2\x80\xa6 https://t.co/Up1Xsiuv0Y',-1
@SouthwestAir,b'@costleex3 @SouthwestAir Are you kidding? Where are you???',-1
@SouthwestAir,"b'@SouthwestAir Just landed at Love, grateful!'",1
@SouthwestAir,b'@SouthwestAir @andreawilliams_ Still stand in the same spot since 630am.',-1
@SouthwestAir,b'@SouthwestAir Your customer service was appalling yesterday. \n#flight #cancelled #CustomerExperience\xe2\x80\xa6 https://t.co/evpq9fvTXj',-1
@SouthwestAir,b'@Michael898580 @costleex3 @SouthwestAir Thanks Mike!',1
@SouthwestAir,b'@SouthwestAir broke my damn suitcase.',-1
@SouthwestAir,b'@alexandereross @taisty3 @SouthwestAir It\xe2\x80\x99s more than just today.  Good luck!!',-1
@SouthwestAir,b'@andreawilliams_ @costleex3 @SouthwestAir Glad you made it.  I wish SW didn\xe2\x80\x99t inflict so much stress by the way the\xe2\x80\xa6 https://t.co/2FrXizjrMj',-1
@SouthwestAir,b'@SouthwestAir Yes....my favorite airline @WestJet  DOES fly to Hawaii. I flew Southwest ONCE 6 years ago and it was\xe2\x80\xa6 https://t.co/SXOE5OhlmR',-1
@SouthwestAir,"b'@corrie_painter @AmericanAir @SouthwestAir has to leave on time because of how they mame money, extra leg per plane\xe2\x80\xa6 https://t.co/c0relq8efl'",-1
@SouthwestAir,b'@taisty3 @SouthwestAir Unbelievable.  So sorrry you all have to endure this.  SW has really fallen on its customer\xe2\x80\xa6 https://t.co/3xgHoG9Fqq',-1
@SouthwestAir,b'@Michael898580 @SouthwestAir The worst part is the lady that checked us in finally told us we were wrong! That ther\xe2\x80\xa6 https://t.co/MVELds4dEx',-1
@SouthwestAir,b'@alexandereross @SouthwestAir Amen!   Well said!  Wishing you some good karma!',-1
@SouthwestAir,b'@fieryfro2109 @SouthwestAir I feel your pain.  SW gives me a rash!',-1
@SouthwestAir,b'@yankee_todd @gbeck048 @SouthwestAir @loganairports The same way I\xe2\x80\x99m not talking about my Warriors right now. \xf0\x9f\x98\x82',-1
@SouthwestAir,b'@SouthwestAir  is this what you call customer service? https://t.co/brMtY4Fi9H',-1
